ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
TTS1,ESM,Telos,24.92834,0.0,10.0495,0.0,17.5,5.0,MQ,YES,111.0,0.055
TTS2,ESM,Telos,24.92834,0.0,10.0495,0.0,52.5,5.0,MQ,YES,94.0,0.017
TTD0,HSPC,Telos,0.0,9.58,3.2237999999999998,3.16,15.19,1.7,PBS,YES,112.038,0.233
TTD01,HSPC,Telos,0.0,9.58,3.2237999999999998,3.16,15.19,1.7,PBS,YES,100.914,0.242
TTD1,HSPC,Telos,0.0,9.58,3.2237999999999998,3.16,17.5,1.727,PBS,YES,120.0,0.415
TTD2,HSPC,Telos,0.0,9.58,3.2237999999999998,3.16,35.0,1.727,PBS,YES,93.0,0.145
TTD3,HSPC,Telos,0.0,9.58,3.2237999999999998,3.16,35.0,1.727,PBS,YES,90.0,0.142
TTD6,HSPC,Telos,0.0,9.58,3.28,3.2,35.0,1.727,PBS,YES,109.0,0.231
1,ESM,Micromixer,24.92834,0.0,10.0495,0.0,2.5,5.0,MQ,YES,110.485,0.05366666666666667
2,HSPC,Micromixer,0.0,9.58,3.2237999999999998,3.16,2.17,1.7,PBS,YES,90.30766666666666,0.20099999999999998
